fight_id,event_date,weight_class,A_id,B_id,label,d_pf_win_pct,d_pf_win_pct_last5,d_pf_win_streak,d_pf_total_fights,d_pf_days_since_last,d_pf_fights_last_365d,d_car_sig_str_acc,d_car_sig_str_att_pervol,d_car_td_acc,d_car_td_att_pervol,d_car_str_def,d_car_td_def,d_car_str_def_qadj,d_car_td_def_qadj,d_car_ctrl_sec,d_car_kd,d_car_sub_att,d_trend_sig_str_acc,d_trend_td_acc,d_trend_td_attempts,d_trend_sig_output,d_trend_damage_absorbed,d_trend_winpct,d_pf_ko_losses,d_pf_sub_losses,d_pf_dec_losses,d_pf_fights_since_ko_loss,d_pf_fights_since_finish_loss,d_pf_ever_ko_loss,d_pf_ever_finish_loss,d_pf_career_damage_absorbed,d_pf_damage_absorbed_per_fight,d_pf_pct_reach_r3,d_pf_late_win_rate,d_pf_avg_fight_duration,d_pf_elo,d_pf_sos_avg_opp_elo,d_pf_sos_opp_elo_last5,d_age_at_fight,d_reach_use,d_height_in,stance_A,stance_B,stance_mismatch,A_total_fights,B_total_fights,A_is_debut,B_is_debut
d93ee3860196c4ae,2026-01-24,Heavyweight,fc08099550072fe4,d3df1add9d9a7efb,1,0.1515151515151516,0.20000000000000007,0.0,-19,-133.0,4.0,-0.025937744287673203,80.75454545454545,0.2368421052631579,-0.7212121212121212,0.1530381199627453,0.19786096256684493,0.14524606786512223,0.1876618753499062,11.275757575757574,0.08787878787878789,0.09090909090909091,0.009990399424901653,0.4035087719298246,0.27878787878787875,6.657575757575756,-2.7303030303030305,-0.048484848484848464,-7.0,-2.0,1.0,,,-1,-1,-228.0,17.330303030303032,0.23636363636363633,0.15454545454545454,91.22727272727275,-9.194594587087522,-37.0939281610199,-3.8796002812196093,-6.650239561943877,-1.0,1.0,Orthodox,Orthodox,0,11,30,False,False
2a7909acde26a240,2020-11-28,Women's Bantamweight,d3f5d33d61cd00c9,fc6e681bf6658faf,1,-0.42857142857142855,-0.4,0.0,-6,-377.0,1.0,-0.044512750455373395,-140.85714285714286,0.08333333333333331,-1.0,-0.07655502392344493,0.2727272727272727,-0.0765600373043569,0.2734869465818637,26.85714285714286,0.0,0.0,0.018131093042900503,-0.04166666666666666,0.7999999999999998,9.200000000000003,-8.628571428571433,-0.028571428571428525,1.0,-2.0,-2.0,,-2.0,1,0,-347.0,-43.57142857142857,-0.7142857142857143,-0.42857142857142855,-51.28571428571428,-1.5702565189769757,0.4000792908359472,2.8568914126851723,-3.230663928815879,0.0,-1.0,Orthodox,Orthodox,0,1,7,False,False
330e67abac6e5ce7,2021-10-16,Women's Featherweight,d3f5d33d61cd00c9,d4691518d012b9e7,1,-0.13333333333333341,-0.13333333333333341,1.0,-2,-532.0,2.0,-0.018057710781053782,34.599999999999994,-0.35,1.7333333333333334,0.2106268161062682,0.33333333333333326,0.20227503652696455,0.3212176086183177,-42.19999999999999,0.1333333333333333,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,-82.0,-3.6000000000000014,0.2666666666666666,0.2666666666666666,128.73333333333332,-37.43008258853911,-26.532924768128623,-26.532924768128623,4.413415468856947,1.0,1.0,Orthodox,Orthodox,0,3,5,False,False
cb745968bd16bf56,2026-04-25,Women's Bantamweight,d3f5d33d61cd00c9,f9ab66e67240db7b,0,0.1515151515151516,0.19999999999999996,2.0,-1,112.0,-2.0,-0.029764090324949533,8.704545454545453,0.16666666666666663,-0.18939393939393945,0.1577310952109794,0.07741027445460946,0.17717431765485497,0.09806201868472075,72.3409090909091,0.0984848484848485,-0.5,0.03144377306036905,0.07843137254901955,-0.7893939393939395,-24.881818181818176,16.495454545454546,-0.04848484848484835,1.0,0.0,-3.0,,,1,1,-131.0,-8.295454545454547,0.15909090909090906,0.40151515151515155,30.909090909090935,70.51896846922864,45.4879887370455,67.39516529467392,4.993839835728952,-3.0,-1.0,Orthodox,Orthodox,0,11,12,False,False
aa430402314b4459,2019-06-08,Bantamweight,fc9a9559a05f2704,d3fa5c5955397532,1,,,-2.0,12,,1.0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,-9.264570768754766,,,-0.1889117043121189,1.0,0.0,Orthodox,Switch,1,12,0,False,True
a850ba762f3c5334,2021-04-17,Middleweight,eae431e70064e046,d4270315cbcf2569,0,0.5714285714285714,0.6,-1.0,6,-21.0,1.0,0.48247978436657685,51.0,,1.0,0.1731119659850172,,0.1758436670856245,,34.142857142857146,0.8571428571428571,0.0,-0.01352021563342315,,-0.3999999999999999,0.7714285714285722,1.0857142857142854,-0.02857142857142858,0.0,0.0,2.0,0.0,0.0,0,0,201.0,22.714285714285715,0.2857142857142857,0.0,155.42857142857142,33.54128898902877,7.634027764560187,6.59991065852023,10.039698836413415,0.0,1.0,Orthodox,Orthodox,0,7,1,False,False
1496969c1497dc85,2023-09-23,Middleweight,f14f644d41ade29f,d4270315cbcf2569,1,-0.26666666666666666,-0.19999999999999996,-4.0,1,-252.0,2.0,-0.05552629731058217,-57.3,0.05223880597014924,-11.066666666666666,-0.006585462467815439,0.7391304347826086,-0.013498611707491226,0.7395636449071172,-342.4666666666667,0.3333333333333333,0.2666666666666666,0.01918117343649256,-0.038461538461538436,-0.2666666666666666,3.2666666666666657,0.3000000000000007,-0.06666666666666671,0.0,1.0,1.0,-2.0,-3.0,0,0,-66.0,-16.3,-0.46666666666666673,-0.6,-21.099999999999994,-64.30548702866463,-20.35099801240085,-20.17516566774748,1.2785763175906908,-1.0,3.0,Orthodox,Orthodox,0,6,5,False,False
0047f8aadca1936f,2026-01-31,Middleweight,d4270315cbcf2569,fbb60f24af5d5a02,1,-0.4285714285714286,-0.4,0.0,6,371.0,-1.0,0.06107660455486541,61.0,-0.04593070104754232,-6.571428571428571,0.1194733194733194,,0.13193313999173856,,-453.85714285714283,0.0,0.2857142857142857,-0.011693348496777833,-0.04473022085546552,0.6285714285714281,-10.085714285714282,4.342857142857142,-0.02857142857142858,1.0,0.0,1.0,,,1,1,151.0,1.8571428571428577,-0.4285714285714286,-0.5714285714285714,-84.0,7.0158039529214875,39.79236199910815,45.00104900094561,3.1622176591375784,-2.0,1.0,Orthodox,Orthodox,0,7,1,False,False
a3b268798d3ab216,2005-04-09,Middleweight,f0264252e191da22,d43a048a880efdff,0,,,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0,,,4.925393566050651,-1.25502538748826,-1.0,Orthodox,Southpaw,1,0,0,True,True
8304a0ea004e73f5,2006-08-17,Middleweight,f8dc544e7077d014,d43a048a880efdff,0,0.16666666666666663,0.19999999999999996,2.0,-5,0.0,-3.0,0.1333333333333333,-22.5,0.4285714285714286,-1.3333333333333335,0.5211267605633803,0.25,0.5135893381942032,0.24399914608720363,-158.33333333333334,0.8333333333333334,-0.16666666666666666,-0.04504504504504503,-0.03296703296703296,0.2666666666666666,-1.9000000000000004,-2.2666666666666657,-0.033333333333333326,-1.0,0.0,0.0,,,-1,-1,-74.0,-12.333333333333334,-0.3333333333333333,-0.3333333333333333,-42.66666666666666,-42.74678759455378,-6.876027095109521,-5.175824075841319,-0.21902806297056543,2.0,2.0,Orthodox,Southpaw,1,1,6,False,False
